CustomerID,Recency,Frequency,Monetary,Monetary_log,Cluster,Segment
12346,326.1173611111111,1,77183.6,11.253955234248428,1,Segment_1
12347,2.873611111111111,7,4310,8.368925174747135,1,Segment_1
12348,75.98402777777778,4,1797.24,7.494563687769957,1,Segment_1
12349,19.124305555555555,1,1757.55,7.472244884833674,1,Segment_1
12350,310.8673611111111,1,334.4,5.815323849389109,5,Segment_5
12352,36.925694444444446,8,2506.04,7.826858053356098,1,Segment_1
12353,204.79375,1,89,4.499809670330265,5,Segment_5
12354,232.98541666666668,1,1079.4,6.985086621918461,5,Segment_5
12355,214.95902777777778,1,459.4,6.132095676847728,5,Segment_5
12356,23.17361111111111,3,2811.43,7.941804157314053,1,Segment_1
12357,33.863194444444446,1,6207.67,8.733701981297274,1,Segment_1
12358,2.1,2,1168.06,7.063955286074528,1,Segment_1
12359,58.00208333333333,4,6310.03,8.750054175177759,1,Segment_1
12360,52.894444444444446,3,2662.06,7.887231116540211,1,Segment_1
12361,287.9576388888889,1,189.9,5.251749730731702,5,Segment_5
12362,3.8819444444444446,10,5226.23,8.56163678004062,1,Segment_1
12363,110.10555555555555,2,552,6.315358001522335,2,Segment_2
12364,8.102777777777778,4,1313.1,7.180907299649593,1,Segment_1
12365,291.9486111111111,2,641.38,6.465180028897591,5,Segment_5
12367,4.834722222222222,1,168.9,5.135210028677887,2,Segment_2
12370,51.91597222222222,4,3541.94,8.172712169921061,1,Segment_1
12371,45.106944444444444,2,1887.96,7.543781692052325,1,Segment_1
12372,72.02638888888889,3,1298.04,7.169380809114136,1,Segment_1
12373,311.9861111111111,1,364.6,5.901539839579995,5,Segment_5
12374,25.884027777777778,1,742.93,6.6119469443852195,2,Segment_2
12375,11.093055555555555,2,457.5,6.127960291696519,2,Segment_2
12377,315.87847222222223,2,1628.1200000000001,7.395795270713971,5,Segment_5
12378,130.09444444444443,1,4008.62,8.29645175271804,1,Segment_1
12379,82.11180555555555,2,852.24,6.749040867823617,2,Segment_2
12380,22.05763888888889,4,2724.81,7.910520910634419,1,Segment_1
12381,5.004166666666666,5,1845.31,7.520944331624911,1,Segment_1
12383,185.2,5,1850.56,7.523783805985769,1,Segment_1
12384,29.174305555555556,2,585.27,6.373780434317173,2,Segment_2
12386,338.00902777777776,2,401.90000000000003,5.998688392197302,5,Segment_5
12388,16.01388888888889,6,2780.66,7.930803150780256,1,Segment_1
12390,80.13680555555555,1,549.84,6.311444385858925,2,Segment_2
12391,22.02986111111111,1,439.66,6.0882736030360425,2,Segment_2
12393,72.88125,4,1582.6,7.3674560152319755,1,Segment_1
12394,64.19583333333334,2,1272.48,7.149508589545504,1,Segment_1
12395,19.895138888888887,12,3018.63,8.012889586306857,1,Segment_1
12397,36.12361111111111,2,2409.9,7.7877554007552545,1,Segment_1
12398,46.09930555555555,1,1635.66,7.400412858792405,1,Segment_1
12399,119.98263888888889,4,1108.65,7.011799929268738,1,Segment_1
12401,303.9583333333333,1,84.3,4.446174454497633,5,Segment_5
12402,323.9590277777778,1,225.6,5.423186348593906,5,Segment_5
12403,50.08263888888889,1,427.7,6.0607573736039315,2,Segment_2
12405,149.1652777777778,1,1710.3899999999999,7.445061184797548,1,Segment_1
12406,22.727777777777778,2,3415.2999999999997,8.136313373066384,1,Segment_1
12407,50.110416666666666,5,1708.12,7.4437338971514055,1,Segment_1
12408,33.015972222222224,5,2888.55,7.968856059639959,1,Segment_1
12409,79.09166666666667,3,11072.67,9.312325497408466,1,Segment_1
12410,309.0909722222222,2,693.33,6.542947351813216,5,Segment_5
12412,75.10694444444445,3,1226.8799999999999,7.1130443840624835,1,Segment_1
12413,67.15972222222223,3,758.1,6.632133521022722,2,Segment_2
12414,217.91597222222222,3,562.41,6.334007604663525,5,Segment_5
12415,24.93611111111111,21,124914.53,11.735393027855736,4,Segment_4
12417,3.915277777777778,9,3649.1,8.202509843461513,1,Segment_1
12418,113.07083333333334,1,668.58,6.506650650150935,2,Segment_2
12420,64.16319444444444,1,600.39,6.3992436425478765,2,Segment_2
12421,16.15486111111111,4,807.04,6.694611562246261,1,Segment_1
12422,96.12638888888888,3,803.56,6.690295544136225,2,Segment_2
12423,1.1111111111111112,8,1859.31,7.528498419486568,1,Segment_1
12424,163.03055555555557,2,1760.96,7.474182104762846,1,Segment_1
12425,78.80486111111111,1,777.2,6.6569835605504535,2,Segment_2
12426,195.01666666666668,1,582.73,6.369438547154207,5,Segment_5
12427,22.1625,3,825.8,6.717562827807613,2,Segment_2
12428,26.18611111111111,9,7956.46,8.981865132439246,1,Segment_1
12429,9.811111111111112,4,3750.4,8.22988438262624,1,Segment_1
12430,43.90347222222222,1,256.4,5.5506312951620265,2,Segment_2
12431,36.03819444444444,15,6419.95,8.767321360814657,4,Segment_4
12432,43.046527777777776,5,5059.32,8.529185001388596,1,Segment_1
12433,1.1166666666666667,7,13375.87,9.50128237507538,1,Segment_1
12434,85.00833333333334,2,806.14,6.6934971352559,2,Segment_2
12435,80.15555555555555,2,7829.889999999999,8.965831447914955,1,Segment_1
12436,100.02847222222222,1,509.01,6.234430333369278,2,Segment_2
12437,2.0520833333333335,18,4951.41,8.507629605767502,4,Segment_4
12438,14.973611111111111,2,2906.85,7.9751692554798295,1,Segment_1
12441,367.08680555555554,1,173.55,5.162211233551045,5,Segment_5
12442,3.936111111111111,1,172.06,5.153638355178593,2,Segment_2
12444,21.977083333333333,5,5005.46,8.518484357502437,1,Segment_1
12445,22.75486111111111,1,133.4,4.900820428089049,2,Segment_2
12446,58,1,1002.31,6.9110598129904375,1,Segment_1
12447,243.97569444444446,1,476.49,6.168543217293113,5,Segment_5
12448,44.96111111111111,1,449.45,6.110247083097449,2,Segment_2
12449,22.961111111111112,4,4067.29,8.310978042729836,1,Segment_1
12450,156.92291666666668,2,197.88,5.292701627762401,5,Segment_5
12451,11.17361111111111,5,9035.52,9.109029423519523,1,Segment_1
12452,17.09861111111111,2,430.57,6.067429722163682,2,Segment_2
12453,134.94583333333333,1,707.09,6.562571204258897,2,Segment_2
12454,56.81736111111111,1,3528.34,8.168866163607964,1,Segment_1
12455,73.88819444444445,6,2466.86,7.81110665732229,1,Segment_1
12456,44.922916666666666,3,3181.04,8.065277779528966,1,Segment_1
12457,66.98402777777778,7,2363.23,7.768207666517555,1,Segment_1
12458,71.89236111111111,2,947.4,6.854776354191251,2,Segment_2
12461,94.82847222222222,2,826.88,6.718868216346018,2,Segment_2
12462,19.152083333333334,2,1189.59,7.082204261557526,1,Segment_1
12463,53.9625,4,1344.78,7.204729049594601,1,Segment_1
12464,10.970138888888888,8,1212.05,7.100893128209941,1,Segment_1
12465,17.844444444444445,2,742.1899999999999,6.610951732080795,2,Segment_2
12468,188.05138888888888,2,729.54,6.593783986707386,5,Segment_5
12471,2.879861111111111,30,19788.65,9.89291435274037,4,Segment_4
12472,32.950694444444444,7,6572.11,8.790742363252102,1,Segment_1
12473,29.961111111111112,5,3928.05,8.276152945361936,1,Segment_1
12474,17.924305555555556,18,7324.09,8.899060720499207,4,Segment_4
12475,54.111111111111114,1,723.38,6.585316116572351,2,Segment_2
12476,16.006944444444443,11,6816.42,8.82723638014411,1,Segment_1
12477,23.124305555555555,6,13219.74,9.489542087633343,1,Segment_1
12478,4.120833333333334,1,680.99,6.525014994979364,2,Segment_2
12479,11.975,1,527.2,6.269474999863032,2,Segment_2
12480,28.915277777777778,4,3281.63,8.096400209353131,1,Segment_1
12481,23.18125,10,5579.82,8.62709099798378,1,Segment_1
12483,17.825,8,2484.98,7.818422226986002,1,Segment_1
12484,33.050694444444446,6,4527.32,8.418106288764006,1,Segment_1
12488,10.166666666666666,3,1298.66,7.169857970780942,1,Segment_1
12489,336.9840277777778,1,334.93,5.816902804925467,5,Segment_5
12490,5.863194444444445,10,5417.93,8.597653657970227,1,Segment_1
12491,39.022222222222226,1,460.4,6.134265345739653,2,Segment_2
12492,63.89930555555556,2,263.21,5.5767442414854775,2,Segment_2
12493,166.10625,2,433.74,6.0747481512447195,5,Segment_5
12494,16.136111111111113,7,1246.1,7.128576134926702,1,Segment_1
12497,82.01458333333333,1,1043.1,6.950910549296065,1,Segment_1
12498,21.997916666666665,3,403.7,6.00314605188182,2,Segment_2
12500,23.854166666666668,11,4257.82,8.356747405587967,1,Segment_1
12501,337.0152777777778,1,2169.39,7.682662153888476,5,Segment_5
12502,96.04027777777777,5,3723.87,8.222787230875806,1,Segment_1
12504,18.866666666666667,2,482.05,6.180120167963518,2,Segment_2
12506,233.1638888888889,1,73.5,4.310799125385514,5,Segment_5
12507,134.8201388888889,3,1304.81,7.174578816863813,1,Segment_1
12508,26.884027777777778,2,397.88,5.988660619775247,2,Segment_2
12509,284.9201388888889,1,176.5,5.178970608915471,5,Segment_5
12510,143.10763888888889,2,982.57,6.8911888096735625,2,Segment_2
12512,66.91319444444444,2,132.18,4.891701596682476,2,Segment_2
12513,113.0826388888889,1,612.29,6.418837907265026,2,Segment_2
12514,267.84166666666664,1,1017.68,6.926262950537876,5,Segment_5
12515,353.8798611111111,1,383.7,5.95246380975825,5,Segment_5
12516,78.15069444444444,2,1312.06,7.180115570136106,1,Segment_1
